Timestamp,WindSpeed,
01.01.2023 00:00:00,1.12,m/s
01.01.2023 00:05:00,1.4,m/s
01.01.2023 00:10:00,0.21,m/s
01.01.2023 00:15:00,0.47,m/s
01.01.2023 00:20:00,0.29,m/s
01.01.2023 00:35:00,0.35,m/s
01.01.2023 00:40:00,0.38,m/s
01.01.2023 00:45:00,0.3,m/s
01.01.2023 00:50:00,0.45,m/s
01.01.2023 00:55:00,0.62,m/s
01.01.2023 01:00:00,0.59,m/s
01.01.2023 01:05:00,0.42,m/s
01.01.2023 01:10:00,0.77,m/s
01.01.2023 01:15:00,0.43,m/s
01.01.2023 01:20:00,0.49,m/s
01.01.2023 01:25:00,0.83,m/s
01.01.2023 01:30:00,0.95,m/s
01.01.2023 01:35:00,0.57,m/s
01.01.2023 01:40:00,0.53,m/s
01.01.2023 01:45:00,0.43,m/s
01.01.2023 01:50:00,1.03,m/s
01.01.2023 01:55:00,0.67,m/s
01.01.2023 02:00:00,0.53,m/s
01.01.2023 02:05:00,0.45,m/s
01.01.2023 02:10:00,0.14,m/s
01.01.2023 02:15:00,0.63,m/s
01.01.2023 02:20:00,0.76,m/s
01.01.2023 02:35:00,0.66,m/s
01.01.2023 02:40:00,1.52,m/s
01.01.2023 02:45:00,0.17,m/s
01.01.2023 02:50:00,0.26,m/s
01.01.2023 02:55:00,0.65,m/s
01.01.2023 03:00:00,0.28,m/s
01.01.2023 03:05:00,0.71,m/s
01.01.2023 03:10:00,0.51,m/s
01.01.2023 03:15:00,0.12,m/s
01.01.2023 03:20:00,0.6,m/s
01.01.2023 03:25:00,0.42,m/s
01.01.2023 03:30:00,0.38,m/s
01.01.2023 03:35:00,0.42,m/s
01.01.2023 03:40:00,0.32,m/s
01.01.2023 03:45:00,0.71,m/s
01.01.2023 03:50:00,0.52,m/s
01.01.2023 03:55:00,0.68,m/s
01.01.2023 04:00:00,0.33,m/s
01.01.2023 04:05:00,0.66,m/s
01.01.2023 04:10:00,0.56,m/s
01.01.2023 04:15:00,0.71,m/s
01.01.2023 04:20:00,0.8,m/s
01.01.2023 04:35:00,0.39,m/s
01.01.2023 04:40:00,0.26,m/s
01.01.2023 04:45:00,0.11,m/s
01.01.2023 04:50:00,0.15,m/s
01.01.2023 04:55:00,0.1,m/s
01.01.2023 05:00:00,0.44,m/s
01.01.2023 05:05:00,0.31,m/s
01.01.2023 05:10:00,0.33,m/s
01.01.2023 05:15:00,0.53,m/s
01.01.2023 05:20:00,0.39,m/s
01.01.2023 05:25:00,0.79,m/s
01.01.2023 05:30:00,0.17,m/s
01.01.2023 05:35:00,0.82,m/s
01.01.2023 05:40:00,0.66,m/s
01.01.2023 05:45:00,0.53,m/s
01.01.2023 05:50:00,0.58,m/s
01.01.2023 05:55:00,0.4,m/s
01.01.2023 06:00:00,0.12,m/s
01.01.2023 06:05:00,0.39,m/s
01.01.2023 06:10:00,0.45,m/s
01.01.2023 06:15:00,0.86,m/s
01.01.2023 06:20:00,0.31,m/s
01.01.2023 06:35:00,0.49,m/s
01.01.2023 06:40:00,0.06,m/s
01.01.2023 06:45:00,0.37,m/s
01.01.2023 06:50:00,0.53,m/s
01.01.2023 06:55:00,0.48,m/s
01.01.2023 07:00:00,0.4,m/s
01.01.2023 07:05:00,0.37,m/s
01.01.2023 07:10:00,0.41,m/s
01.01.2023 07:15:00,1.07,m/s
01.01.2023 07:20:00,0.5,m/s
01.01.2023 07:25:00,0.27,m/s
01.01.2023 07:30:00,0.63,m/s
01.01.2023 07:35:00,0.04,m/s
01.01.2023 07:40:00,0.51,m/s
01.01.2023 07:45:00,0.46,m/s
01.01.2023 07:50:00,0.14,m/s
01.01.2023 07:55:00,0.58,m/s
01.01.2023 08:00:00,1.05,m/s
01.01.2023 08:05:00,0.31,m/s
01.01.2023 08:10:00,0.7,m/s
01.01.2023 08:15:00,0.86,m/s
01.01.2023 08:20:00,0.57,m/s
01.01.2023 08:35:00,0.4,m/s
01.01.2023 08:40:00,0.48,m/s
01.01.2023 08:45:00,0.64,m/s
01.01.2023 08:50:00,0.42,m/s
01.01.2023 08:55:00,0.5,m/s
01.01.2023 09:00:00,0.44,m/s
01.01.2023 09:05:00,0.13,m/s
01.01.2023 09:10:00,0.5,m/s
01.01.2023 09:15:00,0.35,m/s
01.01.2023 09:20:00,0.13,m/s
01.01.2023 09:25:00,0.14,m/s
01.01.2023 09:30:00,0.23,m/s
01.01.2023 09:35:00,0.36,m/s
